date,max_temp,min_temp,avg_temp
2026-01-28,8.3,2.9,5.6000000000000005
2026-01-29,5.0,0.3,2.65
2026-01-30,11.7,4.6,8.149999999999999
2026-01-31,9.5,5.3,7.4
2026-02-01,9.7,6.0,7.85
2026-02-02,10.1,3.1,6.6
2026-02-03,11.1,6.9,9.0
2026-02-04,12.0,4.7,8.35
